Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Robert Gober,1998,Untitled,1985,Pencil on paper,1991-05-23,Drawings,Drawing,American,Male,1954,
David Hammons,1998,Out of Bounds,1995,"Dirt on paper in artist's frame, with basketball",1997-04-17,Drawings,Drawing,American,Male,1943,
Jörg Immendorff,1998,Café Deutschland,1978,Gouache on paper,1979-05-07,Drawings,Drawing,German,Male,1945,2007
Kim Jones,1998,Untitled,1991,Pencil on paper,1995-06-14,Drawings,Drawing,American,Male,1944,
Josef Albers,1998,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
Jennifer Bartlett,1998,"Black, Gray, White from the portfolio Art Pro Choice II",1991,Woodcut,1999-11-18,Prints & Illustrated Books,Print,American,Female,1941,
Georg Baselitz,1998,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Romare Bearden,1998,Music on the Gallery,1975,Synthetic polymer paint and pencil on paper,1977-02-02,Drawings,Drawing,American,Male,1911,1988
George Bellows,1998,Under the Elevated,1908,"Watercolor, ink, and pencil on paper",1935-06-13,Drawings,Drawing,American,Male,1882,1925
Peter Halley,1998,Peter Halley: Maintain Speed,2000,Artist's book,2001-01-24,Prints & Illustrated Books,Illustrated Book,American,Male,1953,
Katharina Fritsch,1998,Mill/Ambulance/Toads (for Parkett no. 25),1990,"Multiple of three records, each in a paper sleeve",1998-03-05,Prints & Illustrated Books,Multiple,German,Female,1956,
Felix Gonzalez-Torres,1998,Untitled (for Parkett no. 39),1994,"Screenprinted billboard, on 8 sheets, and certificate",1998-03-05,Prints & Illustrated Books,Print,American,Male,1957,1996
Jeff Koons,1998,Inflatable Flower Balloon (Yellow) (for Parkett no. 50/51),1998,PVC material,1998-03-05,Prints & Illustrated Books,Multiple,American,Male,1955,
Achille Castiglioni,1998,Spirale Ashtray (7690),1970,Stainless steel,1997-01-15,Architecture & Design,Design,Italian,Male,1918,2002
Livio Castiglioni,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pier Giacomo Castiglioni,1998,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rineke Dijkstra,1998,"Odessa, Ukraine",1993,Chromogenic color print,1997-12-11,Photography,Photograph,Dutch,Female,1959,
An-My Lê,1998,"Untitled, Mekong Delta",1994,Gelatin silver print,1995-03-09,Photography,Photograph,American,Female,1960,
Vik Muniz,1998,Future Diptych,1990,Gelatin silver print,1998-03-12,Photography,Photograph,Brazilian,Male,1961,
Kunié Sugiura,1998,Compounds.A.Positive,1997,Gelatin silver print,1997-12-11,Photography,Photograph,American,Female,1942,
Steve McQueen,1998,Deadpan,1997,"16mm film transferred to video (black and white, silent)",2004-12-01,Media and Performance Art,Installation,British,Male,1969,
Laurie Anderson,2009,Hearring (for Parkett no. 49),1997,Multiple of earring with playable recording,1998-03-05,Prints & Illustrated Books,Multiple,American,Female,1947,
Liza Béar,2009,"Jackie Winsor: Work in Progress: Part I, II, III",1978,"Video (color, sound)",2015-02-17,Film,Video,British,Female,1955,
The Beatles,2009,Strawberry Fields Forever,1967,"Video (color, sound)",1986-01-02,Media and Performance Art,Video,Unknown,Unknown,1960,
Wallace Berman,2009,Semina,1992,Complete set of periodicals,1999-11-18,Prints & Illustrated Books,Illustrated Book,American,Male,1926,1976
Joseph Beuys,2009,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
Raimund Abraham,2009,"Earth-Cloud House, project",1970,Graphite,1980-01-08,Architecture & Design,Architecture,American,Male,1933,2010
"Acconci Studio, New York",2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ben van Berkel,2009,"Company Centre Nijkerk Project, Nijkerk, The Netherlands",1992,"Aluminium, wood, and Plexiglass",1996-09-25,Architecture & Design,Architecture,Dutch,Male,1957,
Caroline Bos,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gordon Bunshaft,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Rodolfo Abularach,2008,Untitled,1960,Ink on paper,1961-03-07,Drawings,Drawing,Guatemalan,Male,1933,
Johannes Theodor Baargeld (Alfred Emanuel Ferdinand Gruenwald),2008,Factory,1920,Ink and crayon on paper,1962-01-09,Drawings,Drawing,German,Male,1892,1927
Leonard Baskin,2008,Phaeneus Lancifer from Horned Beetles and Other Insects,1958,Etching,1967-02-09,Prints & Illustrated Books,Illustrated Book,American,Male,1922,2000
Hans Bellmer,2008,"Little Girl with a Top (plate, page 103) from Feuilles éparses",1965,Engraving,1970-05-12,Prints & Illustrated Books,Illustrated Book,German,Male,1902,1975
Peter Blake,2008,Little Sonny Summer,1969,"Watercolor, gouache, and ink on paper",1978-04-04,Drawings,Drawing,British,Male,1932,
Carl Andre,1996,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1935,
Robert Barry,1996,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1936,
Douglas Huebler,1996,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1924,1997
Joseph Kosuth,1996,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1945,
Sol LeWitt,1996,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1928,2007
Georg Baselitz,1996,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Joseph Beuys,1996,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
Miriam Cahn,1996,"Lesen im Staub, D.W.L. (Das Wilde Leben)",1984,Charcoal on paper,1986-02-27,Drawings,Drawing,Swiss,Female,1949,
Hanne Darboven,1996,49 x 49 (7 x 7 = 49),1972,Graphite pencil on 49 sheets of lined paper,1973-05-24,Drawings,Drawing,German,Female,1941,2009
Günther Förg,1996,Munchs Bettdecke,1996,Artist's book,1997-05-28,Prints & Illustrated Books,Illustrated Book,German,Male,1952,2013
"The Knoll Group, New York, NY",1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Lilly Reich,1996,Bed Cover from the Philip Johnson apartment,1933,Wild silk,2000-06-30,Architecture & Design,Design,German,Female,1885,1947
Otto Dix,1996,At the Café (Im Café),1922,Watercolor and ink on paper,1955-04-06,Drawings,Drawing,German,Male,1891,1969
James Ensor,1996,La Gamme d'Amour,1907,"Illustrated book with 1 relief halftone and 21 photolithographic reproductions, and a supplementary musical score",1964-10-06,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1860,1949
Max Ernst,1996,"Arp, Max Ernst, A. Giacometti, Miro, Gonzalez",1934,Letterpress,1952-05-20,Architecture & Design,Design,French,Male,1891,1976
Francisco Goya,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Philip Guston,1996,In-text plate (folio 66 recto) from In Memory of My Feelings,1967,One from an illustrated book with forty-six lithographs,1968-02-05,Prints & Illustrated Books,Illustrated Book,American,Male,1913,1980
Thomas Roma,1996,Untitled,1974,Gelatin silver print,1981-02-26,Photography,Photograph,American,Male,1950,
William M. Heynes,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sir William Lyons,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Malcolm Sayer,1996,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Pablo Picasso,1996,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Josef Albers,1996,Tea Glass with Saucer and Stirrer,1925,"Heat-resistant glass, chrome-plated steel, ebony, and porcelain",1957-05-15,Architecture & Design,Design,American,Male,1888,1976
Jean (Hans) Arp,1996,Collages 1912 - 1955,1955,Lithograph,1956-04-04,Architecture & Design,Design,French,Male,1886,1966
Max Beckmann,1996,Exhibition Poster,0,Unknown,Unknown,Architecture & Design,Design,German,Male,1884,1950
Hans Bellmer,1996,"Little Girl with a Top (plate, page 103) from Feuilles éparses",1965,Engraving,1970-05-12,Prints & Illustrated Books,Illustrated Book,German,Male,1902,1975
Jean-Michel Basquiat,1996,Untitled,1981,Oilstick on paper,1991-05-23,Drawings,Drawing,American,Male,1960,1988
William Baziotes,1996,".a: Blue Sun, .b: Untitled",1945,"recto:  Pastel and pencil on gray paper 
verso: Pastel on gray paper",1979-05-07,Drawings,Drawing,American,Male,1912,1963
