Artist,Year,Title,Date,Medium,Acquisition Date,Department,Classification,Nationality,Gender,Birth Year,Death Year
Peter Cook,2007,"Arcadia Peninsula Housing, project, Revised version: exterior elevation",1979,Ink and gouache on paper,1992-01-15,Architecture & Design,Architecture,British,Male,1936,
Cristiano Toraldo di Francia,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
x,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
R. Buckminster Fuller,2007,"Dymaxion Dwelling Machine, Wichita House, project, Study for air circulation: floor plan",1945,Graphite on paper,1978-02-27,Architecture & Design,Architecture,American,Male,1895,1983
Gustav Klutsis,2007,Anti-Imperialist Exhibition,1931,Lithograph,1997-01-15,Architecture & Design,Design,Latvian,Male,1895,1938
Brice Marden,2007,Thirty-Six Poems,1987,Illustrated book with one etching with aquatint and drypoint and photolithographic reproductions after etchings,1987-10-20,Prints & Illustrated Books,Illustrated Book,American,Male,1938,
Jonathan Monk,2007,If Only,1996,"Cut-and-pasted printed paper, gelatin silver print, and pencil on paper",2005-05-10,Drawings,Drawing,British,Male,1969,
Barbara Probst,2007,"Exposure #30:  N.Y.C., 249 W 34th Street, 11.20.04, 2:27 p.m.",2004,Four pigmented inkjet prints,2006-05-11,Photography,Photograph,German,Female,1964,
Jules Spinatsch,2007,"Panorama: World Economic Forum, Davos 2003. Camera A, Congress-Center North and Middle Entry, 2176 Still Shots, 24.01.03, 06h35-09h30, Hotspots: World Economic Forum, Davos. Hotspot A4.1, promenade; Hotspot A1.1, north and middle entry; Hotspot A2/3/5/6.1, parking, congress hotel, carlton, congress center",2003,Pigmented inkjet print and 3 DVDs,2006-05-11,Photography,Photograph,Swiss,Male,1964,
Arman,2007,Arman Estampes Catalogues Raisonné,1990,Two drypoints,1996-03-12,Prints & Illustrated Books,Illustrated Book,American,Male,1928,2005
John Armleder,2007,Untitled (for Parkett no. 50/51),1997,Multiple of Perspex object in flourescent orange,1998-03-05,Prints & Illustrated Books,Multiple,Swiss,Male,1948,
Atelier Populaire,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Fiona Banner,2007,The Nam,1997,Artist's book,1999-05-20,Prints & Illustrated Books,Illustrated Book,British,Female,1966,
Georg Baselitz,2007,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Vito Acconci,2007,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
William Anastasi,2007,60 Minutes,1987,Pencil on paper mounted on canvas,1988-02-19,Drawings,Drawing,American,Male,1933,
Janine Antoni,2007,Gnaw,1992,"Three-part installation: 600 lbs. of chocolate gnawed by the artist; 600 lbs. of lard gnawed by the artist; display with 130 lipsticks made with pigment, beeswax, and chewed lard removed from the lard cube; 27 heart-shaped packages made from the chewed chocolate removed from the chocolate cube",2000-11-06,Painting & Sculpture,Installation,Bahamian,Female,1964,
Dieter Appelt,2007,The Field,1991,Gelatin silver prints,1993-03-11,Photography,Photograph,German,Male,1935,
Alighiero Boetti,2007,Probing The Mysteries of a Double Life (for Parkett no. 24),1990,"Collotype, with gouache additions",1998-03-05,Prints & Illustrated Books,Print,Italian,Male,1940,1994
Eija-Liisa Ahtila,2007,Veil of Ignorance (for Parkett no. 68),2003,Multiple of wool jacket with screenprint,2005-06-02,Prints & Illustrated Books,Multiple,Finnish,Female,1959,
Monika Sosnowska,2006,Untitled,2012,Steel and lacquer,2012-09-28,Painting & Sculpture,Sculpture,Polish,Female,1972,
Anonymous,2007,Bandit 201,1967,Offset lithograph on pressure-sensitive sticker,2008-10-08,Prints & Illustrated Books,Print,Unknown,Unknown,,
François Aubert,2007,Emperor Maximilian in His Coffin,1867,Albumen silver print,1991-10-25,Photography,Photograph,French,Male,1839,1900
Robert J. Bingham,2007,THE PRINCE OF WALES,1867,Albumen silver print,1982-05-13,Photography,Photograph,British,Male,1824,1870
Adrien Cordiglia,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
W. & D. Downey,2007,Napoleon III (1808-1873),1860,Albumen silver print,1982-05-13,Photography,Photograph,British,Unknown,,
Roberto Rossellini,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Doug Aitken,2007,Diamond Sea,2001,Artist's book,2001-05-24,Prints & Illustrated Books,Illustrated Book,American,Male,1968,
Armando Reverón,2007,Woman of the River,1939,Oil on canvas,2004-06-08,Painting & Sculpture,Painting,Venezuelan,Male,1889,1954
Jeff Wall,2007,Boy on TV (for Parkett no. 22),1989,Chromogenic color print in wooden frame,1998-03-05,Prints & Illustrated Books,Print,Canadian,Male,1946,
Polly Apfelbaum,2007,Blossom,2000,Synthetic velvet and fabric dye,2001-02-12,Painting & Sculpture,Installation,American,Female,1955,
Inka Essenhigh,2007,Western Print,1999,Screenprint with varnish,2000-03-02,Prints & Illustrated Books,Print,American,Female,1969,
Ellen Gallagher,2007,Skinatural,1997,"Oil, pencil and plasticine on magazine page",2000-10-10,Drawings,Drawing,American,Female,1965,
Arturo Herrera,2007,Untitled,1997,Mixed media collage on on envelope,2002-12-10,Drawings,Drawing,Venezuelan,Male,1959,
Michel Majerus,2007,what looks good today may not look good tomorrow,2000,Synthetic polymer paint and pencil on canvas,2014-09-29,Painting & Sculpture,Painting,German,Male,1967,2002
Richard Serra,2007,Pittsburgh,1985,Paintstik on paper mounted on thin fabric,1987-04-03,Drawings,Drawing,American,Male,1938,
Alvar Aalto,2007,"Church of the Three Crosses, Vuoksenniska, Imatra, Finland",1955,"Plastic, cardboard, and synthetic polymer paint",2000-06-30,Architecture & Design,Architecture,Finnish,Male,1898,1976
"Alsop Ltd., London, England",2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Michael Anastassiades,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Apple Industrial Design Group,2007,Apple Pro Keyboard,2000,Polycarbonate and other materials,2001-05-11,Architecture & Design,Design,American,Unknown,,
Max Bill,2007,Electric Wall Plugs,1956,Hardrubber heads,1958-12-04,Architecture & Design,Design,Swiss,Male,1908,1994
Gian Piero Frassinelli,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Paul Klee,2007,Poster for Klee Exhibition at Berggruen & Cie,1955,Lithograph,1956-04-04,Architecture & Design,Design,German,Male,1879,1940
Lee Bontecou,2007,"Plate 1 (folio 4) from Fifth Stone, Sixth Stone",1968,Etching and aquatint,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Female,1931,
Carroll Dunham,2007,Untitled,1998,Pencil on paper,2000-02-03,Drawings,Drawing,American,Male,1949,
Milton Esterow,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jo Fielder,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
William T. Graham,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Berenice Abbott,2007,"Exchange Place, New York",1933,Gelatin silver print,1941-01-16,Photography,Photograph,American,Female,1898,1991
Diane Arbus,2007,"Four People at a Gallery Opening, New York City",1968,Gelatin silver print,1994-01-13,Photography,Photograph,American,Female,1923,1971
Tom Arndt,2007,"Street Scene, 49th Street, New York City",1980,Gelatin silver print,1981-10-15,Photography,Photograph,American,Male,1944,
Rudy Burckhardt,2007,Untitled,1940,Gelatin silver print,1993-03-11,Photography,Photograph,American,Male,1914,1999
Ted Croner,2007,Taxi - New York - Night,1947,Gelatin silver print,1982-03-11,Photography,Photograph,American,Male,1922,2005
Josiah McElheny,2007,"Modernity, Mirrored and Reflected Infinitely",2003,"Mirrored blown glass, aluminum metal display, lighting, two-way mirror, glass, and mirror",2003-10-07,Painting & Sculpture,Sculpture,American,Male,1966,
Carl Andre,2007,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1935,
Matthew Barney,2007,Drawing Restraint 7,1995,Artist's book with plastic clip,1997-03-06,Prints & Illustrated Books,Illustrated Book,American,Male,1967,
Dan Budnik,2007,"David Smith Arc Welding Primo Piano III in his Studio, Terminal Iron Works, Bolton Landing, New York",1962,Dye transfer print,1985-03-27,Photography,Photograph,American,Male,1933,
Eliot Elisofon,2007,"Bent Umbrella Grass, No. 1",1958,Watercolor and ink on paper,1958-10-29,Drawings,Drawing,American,Male,1911,1973
David Smith,2007,"Exhibition, Sculpture",1952,Poster,1952-05-20,Architecture & Design,Design,American,Male,1906,1965
Cory Arcangel,2007,Two Key-stoned Projectors (one upside down version 2),2007,"Two-channel projection (color, silent)",2009-04-14,Media and Performance Art,Installation,American,Male,1978,
Rafael Lozano-Hemmer,2007,33 Questions Per Minute,2000,"Twenty-one LCD screens, computer

",2006-04-12,Media and Performance Art,Installation,Mexican,Male,1967,
Kevin & Jennifer McCoy,2007,Our Second Date,2004,"Tabletop installation with six miniature cameras, computer, LCD monitor, and one projector",2005-08-04,Media and Performance Art,Installation,American,Unknown,,
Paul Pfeiffer,2007,John 3:16,2000,"Digital video (color, silent; 2:07 min.), LCD monitor, and metal armature",Unknown,Media and Performance Art,Installation,American,Male,1966,
Xu Bing,2007,Holding the Brush,1995,Woodcut,2005-10-25,Prints & Illustrated Books,Print,Chinese,Male,1955,
William Henry Jackson,2007,"Mirror Lake and Lake Placid, New York",1900,Gelatin silver print,1989-03-09,Photography,Photograph,American,Male,1843,1942
Mark Klett,2007,"Last Camp of the Season: Bread Loaf Rock looking out towards the City of Rocks, Idaho from the series Rephotographic Survey Project",1979,Gelatin silver print,1983-03-24,Photography,Photograph,American,Male,1952,
JoAnn Verburg,2007,With Michael and John in Minnesota,1982,Gelatin silver prints,1983-01-13,Photography,Photograph,American,Female,1950,
Georges Seurat,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Martin Puryear,2008,Cane,2000,"Illustrated book with ten woodcuts, and a supplementary suite of seven unbound woodcuts",2000-11-09,Prints & Illustrated Books,Illustrated Book,American,Male,1941,
Lucian Freud,2008,Head of a Man,1986,Charcoal on paper,1988-02-19,Drawings,Drawing,British,Male,1922,2011
Bas Jan Ader,2008,I'm Too Sad to Tell You,1970,Gelatin silver print,2008-02-14,Photography,Photograph,Dutch,Male,1942,1975
Cory Arcangel,2008,Two Key-stoned Projectors (one upside down version 2),2007,"Two-channel projection (color, silent)",2009-04-14,Media and Performance Art,Installation,American,Male,1978,
The Atlas Group/Walid Raad,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
John Baldessari,2008,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Jennifer Bartlett,2008,"Black, Gray, White from the portfolio Art Pro Choice II",1991,Woodcut,1999-11-18,Prints & Illustrated Books,Print,American,Female,1941,
Olafur Eliasson,2008,Eye Eye (for Parkett no. 64),2002,"Multiple of iris shutter, mirror, and wood",2003-03-11,Prints & Illustrated Books,Print,Icelandic,Male,1967,
Ernst Ludwig Kirchner,2008,Front cover/title page from Das Stiftsfräulein und der Tod (The Canoness and Death),1913,Woodcut from an illustrated book with five woodcuts,1964-03-10,Prints & Illustrated Books,Illustrated Book,German,Male,1880,1938
Joan Miró,2009,"Galerie Maeght, Peintures, Murales, Miró",1961,Lithograph,1968-03-07,Architecture & Design,Design,Spanish,Male,1893,1983
Marlene Dumas,2009,Magdalena,1996,Ink on paper,2000-10-10,Drawings,Drawing,South African,Female,1953,
Barry Frydlender,2007,Flood,2003,Chromogenic color print,2005-01-12,Photography,Photograph,Israeli,Male,1954,
"A Man Called Wrycraft, Canada",2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
American Apparel,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Matthew Carter,2008,ITC Galliard,1978,Digital typeface,2010-09-15,Architecture & Design,Design,British,Male,1937,
Joan Charysyn,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Comme des Garçons,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Airstream, Inc.",2007,Airstream Bambi Travel Trailer,1960,"Aluminum, steel, wood, upholstery",2006-10-03,Architecture & Design,Design,American,Unknown,1931,
Hans Hartmann,2007,Einspuren - Spur Halten,1963,Photolithograph,2000-12-11,Architecture & Design,Design,Swiss,Male,1913,
Pierre Mendell,2007,Kieler Woche 1986,1986,Offset lithograph,1995-01-17,Architecture & Design,Design,German,Male,1929,
Tomoko Miho,2007,Great Architecture in Chicago,1967,Silkscreen on aluminized paper,1968-03-07,Architecture & Design,Design,American,Female,1931,2012
Pablo Picasso,2007,"Picasso, ""Les Menines,"" Galerie Louise Leiris",1959,Lithograph,1960-04-06,Architecture & Design,Design,Spanish,Male,1881,1973
Jo Baer,2007,Rook,1962,Gouache and pencil on paper,1999-10-21,Drawings,Drawing,American,Female,1929,
Robert Barry,2007,25 plates from Untitled (Xerox Book),1968,Offset lithographs,1969-02-10,Prints & Illustrated Books,Illustrated Book,American,Male,1936,
Joseph Beuys,2007,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
Max Beckmann,2007,Exhibition Poster,0,Unknown,Unknown,Architecture & Design,Design,German,Male,1884,1950
Christian Boltanski,2007,El Caso (for Parkett no. 22),1989,Artist's book,1998-03-05,Prints & Illustrated Books,Illustrated Book,French,Male,1944,
Louise Bourgeois,2007,"Homely Girl, A Life, volume I and II",1992,Two volume illustrated book,1993-01-18,Prints & Illustrated Books,Illustrated Book,American,Female,1911,2010
Willie Cole,2007,Stowage,1997,Woodcut,1997-03-06,Prints & Illustrated Books,Print,American,Male,1955,
Lovis Corinth,2007,Self-Portrait (Selbstbildnis) (plate 1) from the illustrated book Deutsche Graphiker der Gegenwart (German Printmakers of Our Time),1920,"Lithograph from an illustrated book with fifteen lithographs, eight woodcuts, eight reproductions and one lithographed cover",Unknown,Prints & Illustrated Books,Illustrated Book,German,Male,1858,1925
Ball-Nogues Studio,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Harry Bedos,2007,The Strength of Men,1913,Unknown,2005-07-01,Film,Work on Paper,French,Male,,
unknown,2007,Woman,1600,Double warp silk brocade,1934-09-23,Architecture & Design,Design,Unknown,Unknown,,
Serreck Wilson,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Raimund Abraham,2008,"Earth-Cloud House, project",1970,Graphite,1980-01-08,Architecture & Design,Architecture,American,Male,1933,2010
Erik Gunnar Asplund,2008,"Villa Snellman, Djursholm, Sweden, Elevation of garden facade, sketch",1917,Graphite and crayon on tracing paper mounted on board,1990-01-17,Architecture & Design,Architecture,Swedish,Male,1885,1940
Gianni Braghieri,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Marcel Breuer,2008,Stool (model B37),1932,Chrome-plated tubular steel and Eisengarn fabric,1997-01-15,Architecture & Design,Design,American,Male,1902,1981
Roberto Burle Marx,2008,"Ibirapuera Park, Quadricentennial Gardens, project, São Paulo, Brazil, Plan, detail five",1953,Gouache on board,1954-06-16,Architecture & Design,Architecture,Brazilian,Male,1909,1994
Sergei Andrievskiy,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Grigory Barkhin,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mikhail Barkhin,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Armen Baruchev,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mark Felger,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Angel Abreu,2007,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Francis Bacon,2007,Painting,1946,Oil and pastel on linen,1948-10-06,Painting & Sculpture,Painting,British,Male,1909,1992
John Baldessari,2007,"The Life and Opinions of Tristram Shandy, Gentleman",1988,Illustrated book of three volumes including accordion-folded artist's book with fifty-eight photolithographs,1989-01-18,Prints & Illustrated Books,Illustrated Book,American,Male,1931,
Lynda Benglis,2007,Victor,1974,"Aluminum screen, cotton bunting, plaster, sprayed zinc, steel, and tin",1975-12-09,Painting & Sculpture,Sculpture,American,Female,1941,
Tanyth Berkeley,2008,Grace in Window,2006,Pigmented inkjet print,2007-05-10,Photography,Photograph,American,Female,1969,
Scott McFarland,2008,"Orchard View, Early Spring; Rubus Discolour, Prunus Nigra, Prunus Serrulata",2004,Chromogenic color print,2006-01-11,Photography,Photograph,Canadian,Male,1975,
Berni Searle,2008,On Either Side,2005,Pigmented inkjet print,2007-04-11,Photography,Photograph,South African,Female,1964,
"A.C. Gilbert Company, New Haven, Connecticut",2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Gregory Ain,2008,Exhibition House for the Museum of Modern Art Garden,1950,"Paper, wood, plastic, plexiglass, metal, aluminum and paint",2014-01-29,Architecture & Design,Architecture,American,Male,1908,1988
A. J. Diamond and Barton Myers,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Mercedes Álvarez,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Anderson Anderson Architecture,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ernie Gehr,2008,Modern Navigation,2002,"Two-channel video (color, silent)",2005-04-20,Media and Performance Art,Installation,American,Male,1941,
Gaston Velle,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alexander Calder,2008,"Gouaches Totems, Galerie Maeght, Calder",1966,Lithograph,1966-05-10,Architecture & Design,Design,American,Male,1898,1976
Francis Alÿs,2008,Untitled,2000,Multiple of stencil and chalk,2000-05-24,Prints & Illustrated Books,Multiple,Belgian,Male,1959,
John Armleder,2008,Untitled (for Parkett no. 50/51),1997,Multiple of Perspex object in flourescent orange,1998-03-05,Prints & Illustrated Books,Multiple,Swiss,Male,1948,
Georg Baselitz,2008,Plate I (frontispiece) from BING,1991,"Drypoint, printed in black",1993-01-18,Prints & Illustrated Books,Illustrated Book,German,Male,1938,
Lynda Benglis,2008,Victor,1974,"Aluminum screen, cotton bunting, plaster, sprayed zinc, steel, and tin",1975-12-09,Painting & Sculpture,Sculpture,American,Female,1941,
Carlos Amorales,2008,Why Fear the Future?,2005,Series of fifty-four screenprints,2006-06-01,Prints & Illustrated Books,Print,Mexican,Male,1970,
Alexandre Arrechea,2008,Untitled,2003,Watercolor and pencil on paper,2004-05-11,Drawings,Drawing,Cuban,Male,1970,
assume vivid astro focus,2008,"By Cleland, T.M. (1930(?)) ""West Vaco - Inspirations for Printers"" No. 26",2002,Ink on synthetic polymer sheet,2005-05-10,Drawings,Drawing,Unknown,Unknown,,
Álvaro Barrios,2008,Popular Print for the First International Art Biennial of Buenos Aires,2000,Twenty photolithographs,2005-06-02,Prints & Illustrated Books,Print,Colombian,Male,1945,
Geraldo de Barros,2008,Self Portrait,1949,Gelatin silver print,2005-05-11,Photography,Photograph,Brazilian,Male,1923,1998
Gert Tobias,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Uwe Tobias,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Jan De Cock,2008,"Denkmal 53, Tate Modern, Bankside 53, London SE 19TG, 2005, Fig. 2d. Level 2 Gallery",2005,Chromogenic color print,2008-02-14,Photography,Photograph,Belgian,Male,1976,
"Academy of Media Arts, Cologne",2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Acron Formservice AB,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alex Adai,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Adam Opel GmbH,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
AEDS Ammar Eloueini Digit-all Studio,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Luis Buñuel,2008,Belle de jour,1967,"35mm film (color, sound)",2005-05-03,Film,Film,Spanish,Male,1900,1983
Salvador Dalí,2008,Onan,1934,"Illustrated book with one photogravure, aquatint, and drypoint with roulette",1971-03-30,Prints & Illustrated Books,Illustrated Book,Spanish,Male,1904,1989
Philippe Halsman,2008,Marian Anderson,1944,Gelatin silver print,1959-04-22,Photography,Photograph,American,Male,1906,1979
John Hench,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Alfred Hitchcock,2008,Rebecca,1940,"35mm film (black and white, sound)",1978-06-01,Film,Film,British,Male,1899,1980
Vincent Van Gogh,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Aernout Mik,2009,Schoolyard,2009,"Two-channel video (color, silent)",2011-05-19,Media and Performance Art,Installation,Dutch,Male,1962,
Ellsworth Kelly,2008,The Paris Review,1966,Silkscreen,1967-10-18,Architecture & Design,Design,American,Male,1923,2015
Natascha Sadr Haghighian,2008,Empire of the Senseless Part II,2006,"Two-channel projection (color, silent)",2007-04-11,Media and Performance Art,Installation,Iranian,Female,1953,
Jenny Holzer,2008,LAMENTS: THE NEW DISEASE CAME...,1988,Ink transfer and pencil on transparentized paper in artist's frame,1990-10-25,Drawings,Drawing,American,Female,1950,
Jonathan Horowitz,2008,"Stairmaster Suite: Set 6, #6 (7-20-96), Stairmaster Suite: Set 6, #12 (7-30-96), Stairmaster Suite: Set 6, #18 (8-14-96), Stairmaster Suite: Set 6, #24 (8-23-96), Stairmaster Suite: Set 6, #30 (9-6-96)",1996,"Ink on five pieces of printed paper
",2005-05-10,Drawings,Drawing,American,Male,1966,
Bruce Nauman,2008,"Study related to the sculpture ""Storage Capsule for the Right Rear Quarter of My Body""",1966,Watercolor and pencil on paper,1985-03-08,Drawings,Drawing,American,Male,1941,
Deborah Adler,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
"Airstream, Inc.",2008,Airstream Bambi Travel Trailer,1960,"Aluminum, steel, wood, upholstery",2006-10-03,Architecture & Design,Design,American,Unknown,1931,
Yves Béhar,2008,Leaf Light,2005,"Aluminum, plastic, and 10 cool and 10 warm LEDs",2006-05-24,Architecture & Design,Design,Swiss,Male,1967,
Mathias Bengtsson,2008,Spun Chaise Lounge,2003,Carbon fiber,2007-11-07,Architecture & Design,Design,Danish,Male,1971,
Stacy Benjamin,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Sigalit Landau,2008,Barbed Hula,2000,"Video (color, silent)",2008-03-12,Media and Performance Art,Video,Israeli,Female,1969,
Marcel Duchamp,2008,"Echecs, Championnat de France 1925",1925,Lithograph,1952-05-20,Architecture & Design,Design,American,Male,1887,1968
Robert Irwin,2008,Untitled,1968,Synthetic polymer paint on aluminum and light,1969-03-11,Painting & Sculpture,Painting,American,Male,1928,
El Lissitzky,2008,USSR Russische Ausstellung,1929,Gravure,1937-10-30,Architecture & Design,Design,Russian,Male,1890,1941
Gordon Matta-Clark,2008,Untitled (Energytree),1972,"Crayon, felt-tip pen, and ballpoint pen on paper",1999-05-06,Drawings,Drawing,American,Male,1943,1978
Anthony McCall,2008,Miniature in Black and White,1972,"Eighty-one 35mm black and white slides (continuous loop), carousel slide projector, and miniature Plexiglas screen",2008-03-12,Media and Performance Art,Installation,American,Male,1946,
Robert Arneson,2008,Study for Head Bath,1977,Conté crayon and pencil on paper,1981-04-28,Drawings,Drawing,American,Male,1930,1992
Jean-Michel Basquiat,2008,Untitled,1981,Oilstick on paper,1991-05-23,Drawings,Drawing,American,Male,1960,1988
René Bertholo,2008,They Were Expelled,1961,Carbon transfer on paper,1963-12-10,Drawings,Drawing,Portuguese,Male,1935,2005
Joseph Beuys,2008,Zeichnungen von 1949-1969,1969,Illustrated book with 57 photolithographic reproductions of drawings,1982-01-21,Prints & Illustrated Books,Illustrated Book,German,Male,1921,1986
Pearl Blauvelt,2008,5th Avenue and Broadway Store,1940,"Colored pencil and pencil on paper
",2005-05-10,Drawings,Drawing,American,Female,1893,1987
Richard Artschwager,2008,Umble #2,1970,Charcoal on paper,1970-05-12,Drawings,Drawing,American,Male,1923,2013
Brian Belott,2008,"Books, books, books, books, books, books, and books",2005,"Installation of sixty-five illustrated books with collage additions, on table",2007-11-12,Prints & Illustrated Books,Illustrated Book,American,Male,1973,
Michaël Borremans,2008,Manufacturers of Constellation,2000,Pencil and watercolor on paper,2002-10-15,Drawings,Drawing,Belgian,Male,1963,
Marcel Broodthaers,2008,Un coup de dés jamais n'abolira le hasard (A throw of the dice will never abolish chance),1969,"Artist's book. Offset lithograph, thirty-two pages",1982-01-21,Prints & Illustrated Books,Illustrated Book,Belgian,Male,1924,1976
Ron Costley,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Carl Fischer,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Harold Krieger,2009,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
George Lois,2009,"Artwork for Cover of Esquire Magazine, November 1967",1967,Color photograph and crayon,2008-02-06,Architecture & Design,Design,American,Unknown,1931,
Saul Bass,2008,Anatomy of a Murder,1959,Offset lithograph,1960-04-06,Architecture & Design,Design,American,Male,1920,1996
Ercole Brini,2008,Blow-Up,1966,"Three-sheet poster, Italy",Unknown,Film,Work on Paper,Italian,Male,1913,1989
John Canemaker,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Wojciech Fangor,2008,Untitled,1967,Aquatint,1968-10-10,Prints & Illustrated Books,Print,Polish,Male,1922,2015
John Hamilton,2008,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Ad Reinhardt,2008,Untitled from Artists and Writers Against the War in Viet Nam,1967,Screenprint with collage from a portfolio of 9 screenprints (1 with die-cut and 1 with punched holes); 6 lithographs (1 with embossing); and 1 soft ground etching,1967-10-18,Prints & Illustrated Books,Print,American,Male,1913,1967
Mark Rothko,2008,Untitled,1945,Watercolor and gouache on paper,1991-05-23,Drawings,Drawing,American,Male,1903,1970
OBRA Architects,2006,Unknown,0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,
Douglas Gordon,2006,Signature (for Parkett no. 49),1997,Imprint of artist's bite bound into journal,1998-03-05,Prints & Illustrated Books,Print,Scottish,Male,1966,
Vito Acconci,2006,"Behavior Fields - Transaction Arenas - Training Grounds - Maneuver Positions: Notes on the Development of a Show (Sonnabend, New York; January 15-29, 1972), Notes Toward Performing a Gallery Space",1973,Illustrated book with photolithographic reproductions,1974-04-23,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
Hans Bellmer,2006,"Little Girl with a Top (plate, page 103) from Feuilles éparses",1965,Engraving,1970-05-12,Prints & Illustrated Books,Illustrated Book,German,Male,1902,1975
Mel Bochner,2006,On Certainty/Über Gewissheit and supplementary suite Counting Alternatives: The Wittgenstein Illustrations,1991,Illustrated book with 17 line block reproductions and a supplementary suite,1991-05-22,Prints & Illustrated Books,Illustrated Book,American,Male,1940,
